Plant,Disease,Cure,Best Practices
Tomato,Tomato___Bacterial_spot,"Copper-based fungicides, bactericides","Practice crop rotation, use disease-free seeds, prune infected leaves, ensure good air circulation."
Tomato,Tomato___Early_blight,"Chlorothalonil, mancozeb fungicides","Remove infected leaves, ensure good spacing, avoid overhead watering, practice crop rotation."
Tomato,Tomato___Late_blight,"Chlorothalonil, mancozeb, copper fungicides","Improve air circulation, use resistant varieties, remove infected plants promptly, avoid overhead watering."
Tomato,Tomato___Leaf_Mold,"Chlorothalonil, mancozeb fungicides","Improve air circulation, use resistant varieties, reduce humidity, avoid overhead watering."
Tomato,Tomato___Septoria_leaf_spot,"Chlorothalonil, mancozeb fungicides","Practice crop rotation, remove infected leaves, ensure good spacing, avoid overhead watering."
Tomato,Tomato___Spider_mites Two-spotted_spider_mite,"Insecticidal soap, neem oil","Introduce predatory mites, ensure good plant hygiene, avoid water stress."
Tomato,Tomato___Target_Spot,"Chlorothalonil, mancozeb fungicides","Practice crop rotation, remove infected leaves, ensure good air circulation."
Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,"No direct cure, focus on prevention","Use resistant varieties, control whitefly vectors, remove infected plants promptly."
Tomato,Tomato___Tomato_mosaic_virus,"No direct cure, focus on prevention","Use resistant varieties, sanitize tools, control aphids, remove infected plants."
Tomato,Tomato___healthy,"N/A","Maintain good plant health, provide proper nutrition, ensure good watering practices."
Apple,Apple___Apple_scab,"Captan, myclobutanil fungicides","Remove fallen leaves, prune for airflow, use resistant varieties."
Apple,Apple___Black_rot,"Captan, myclobutanil fungicides","Remove infected fruit and branches, improve air circulation, prune properly."
Apple,Apple___Cedar_apple_rust,"Myclobutanil, propiconazole fungicides","Remove cedar trees near apple orchards, use resistant varieties, prune properly."
Apple,Apple___healthy,"N/A","Maintain good tree health, provide proper nutrition, ensure good watering practices."
Corn_(maize),Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,"Chlorothalonil, propiconazole fungicides","Practice crop rotation, use resistant varieties, manage crop residues."
Corn_(maize),Corn_(maize)___Common_rust_,"Chlorothalonil, propiconazole fungicides","Use resistant varieties, practice crop rotation, manage crop residues."
Corn_(maize),Corn_(maize)___Northern_Leaf_Blight,"Chlorothalonil, propiconazole fungicides","Use resistant varieties, practice crop rotation, manage crop residues."
Corn_(maize),Corn_(maize)___healthy,"N/A","Maintain good plant health, provide proper nutrition, ensure good watering practices."
Grape,Grape___Black_rot,"Myclobutanil, propiconazole fungicides","Improve drainage, prune to reduce humidity, remove infected fruit and leaves."
Grape,Grape___Esca_(Black_Measles),"No direct cure, focus on prevention","Prune properly, avoid wounding vines, use resistant rootstocks."
Grape,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Chlorothalonil, mancozeb fungicides","Remove infected leaves, improve air circulation, prune properly."
Grape,Grape___healthy,"N/A","Maintain good vine health, provide proper nutrition, ensure good watering practices."
Potato,Potato___Early_blight,"Chlorothalonil, mancozeb fungicides","Practice crop rotation, remove infected leaves, ensure good spacing."
Potato,Potato___Late_blight,"Chlorothalonil, mancozeb, copper fungicides","Improve air circulation, use resistant varieties, remove infected plants promptly."
Potato,Potato___healthy,"N/A","Maintain good plant health, provide proper nutrition, ensure good watering practices."
